id,cat,truth_refuse,gold_bind,pred_bind,mus,min_mcs
e0000,boundary_single,True,E_mean,E_mean,{E_mean>=137.633},{E_mean>=137.633}
e0001,boundary_single,True,E_mean,E_mean,{E_mean>=137.633},{E_mean>=137.633}
e0002,boundary_single,True,E_mean,E_mean,{E_mean>=141.681},{E_mean>=141.681}
e0003,boundary_single,True,E_mean,E_mean,{E_mean>=141.681},{E_mean>=141.681}
e0004,boundary_single,True,E_mean,E_mean,{E_mean>=148.428},{E_mean>=148.428}
e0005,boundary_single,True,E_mean,E_mean,{E_mean>=148.428},{E_mean>=148.428}
e0006,boundary_single,True,E_mean,E_mean,{E_mean>=161.922},{E_mean>=161.922}
e0007,boundary_single,True,E_mean,E_mean,{E_mean>=161.922},{E_mean>=161.922}
e0008,boundary_single,False,,,,
e0009,boundary_single,False,,,,
e0010,boundary_single,False,,,,
e0011,boundary_single,False,,,,
e0012,boundary_single,False,,,,
e0013,boundary_single,False,,,,
e0014,boundary_single,True,k_mean,k_mean,{k_mean>=173.582},{k_mean>=173.582}
e0015,boundary_single,True,k_mean,k_mean,{k_mean>=173.582},{k_mean>=173.582}
e0016,boundary_single,True,k_mean,k_mean,{k_mean>=178.687},{k_mean>=178.687}
e0017,boundary_single,True,k_mean,k_mean,{k_mean>=178.687},{k_mean>=178.687}
e0018,boundary_single,True,k_mean,k_mean,{k_mean>=187.196},{k_mean>=187.196}
e0019,boundary_single,True,k_mean,k_mean,{k_mean>=187.196},{k_mean>=187.196}
e0020,boundary_single,True,k_mean,k_mean,{k_mean>=204.214},{k_mean>=204.214}
e0021,boundary_single,True,k_mean,k_mean,{k_mean>=204.214},{k_mean>=204.214}
e0022,boundary_single,False,,,,
e0023,boundary_single,False,,,,
e0024,boundary_single,False,,,,
e0025,boundary_single,False,,,,
e0026,boundary_single,False,,,,
e0027,boundary_single,False,,,,
e0028,boundary_single,True,tmax,tmax,{tmax>=1530},{tmax>=1530}
e0029,boundary_single,True,tmax,tmax,{tmax>=1530},{tmax>=1530}
e0030,boundary_single,True,tmax,tmax,{tmax>=1575},{tmax>=1575}
e0031,boundary_single,True,tmax,tmax,{tmax>=1575},{tmax>=1575}
e0032,boundary_single,True,tmax,tmax,{tmax>=1650},{tmax>=1650}
e0033,boundary_single,True,tmax,tmax,{tmax>=1650},{tmax>=1650}
e0034,boundary_single,True,tmax,tmax,{tmax>=1800},{tmax>=1800}
e0035,boundary_single,True,tmax,tmax,{tmax>=1800},{tmax>=1800}
e0036,boundary_single,False,,,,
e0037,boundary_single,False,,,,
e0038,boundary_single,False,,,,
e0039,boundary_single,False,,,,
e0040,boundary_single,False,,,,
e0041,boundary_single,False,,,,
e0042,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.98},{cost_per_kg<=0.98}
e0043,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.98},{cost_per_kg<=0.98}
e0044,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.95},{cost_per_kg<=0.95}
e0045,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.95},{cost_per_kg<=0.95}
e0046,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.9},{cost_per_kg<=0.9}
e0047,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.9},{cost_per_kg<=0.9}
e0048,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.8},{cost_per_kg<=0.8}
e0049,boundary_single,True,cost_per_kg,cost_per_kg,{cost_per_kg<=0.8},{cost_per_kg<=0.8}
e0050,boundary_single,False,,,,
e0051,boundary_single,False,,,,
e0052,boundary_single,False,,,,
e0053,boundary_single,False,,,,
e0054,boundary_single,False,,,,
e0055,boundary_single,False,,,,
e0056,boundary_joint,True,cost_per_kg;k_mean,cost_per_kg;k_mean,"{k_mean>=81.8566,cost_per_kg<=4}",{k_mean>=81.8566};{cost_per_kg<=4}
e0057,boundary_joint,True,cost_per_kg;k_mean,cost_per_kg;k_mean,"{k_mean>=81.8566,cost_per_kg<=4}",{k_mean>=81.8566};{cost_per_kg<=4}
e0058,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=600,cost_per_kg<=2.5}",{tmax>=600};{cost_per_kg<=2.5}
e0059,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=600,cost_per_kg<=2.5}",{tmax>=600};{cost_per_kg<=2.5}
e0060,boundary_joint,True,E_mean;k_mean,E_mean;k_mean,"{E_mean>=61.3549,k_mean>=79.0092}",{E_mean>=61.3549};{k_mean>=79.0092}
e0061,boundary_joint,True,E_mean;k_mean,E_mean;k_mean,"{E_mean>=61.3549,k_mean>=79.0092}",{E_mean>=61.3549};{k_mean>=79.0092}
e0062,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=900,cost_per_kg<=9}",{tmax>=900};{cost_per_kg<=9}
e0063,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=900,cost_per_kg<=9}",{tmax>=900};{cost_per_kg<=9}
e0064,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{cost_per_kg<=4,tmax>=1200}",{cost_per_kg<=4};{tmax>=1200}
e0065,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{cost_per_kg<=4,tmax>=1200}",{cost_per_kg<=4};{tmax>=1200}
e0066,boundary_joint,True,cost_per_kg;k_mean,cost_per_kg;k_mean,"{cost_per_kg<=7,k_mean>=69.1175}",{cost_per_kg<=7};{k_mean>=69.1175}
