family,mode,rho,n,freq,Estar_0.29,Estar_0.30,Estar_0.34
gyroid,network,0.35009765625,32,111,0.09297151840384815,0.09295969052112382,0.0929809434100612
gyroid,sheet,0.350250244140625,32,111,0.14229254774096145,0.14207264698634392,0.14131357555007795
diamond,network,0.350189208984375,32,111,0.08901565485505586,0.08877171754351337,0.08785425197147345
diamond,sheet,0.3497314453125,32,111,0.1673499098399549,0.16698303934468814,0.16563926166048829
schwarz_p,network,0.34991455078125,32,111,0.16636846935826252,0.1667717805996003,0.168456162081664
schwarz_p,sheet,0.3499755859375,32,111,0.11268158504580192,0.11281166312310527,0.11347363383883505
iwp,network,0.34991455078125,32,111,0.1774321607652278,0.17761004847169615,0.17837475848555936
iwp,sheet,0.35028076171875,32,111,0.16842439083245864,0.1688070527330604,0.17053182849854107
neovius,network,0.35028076171875,32,111,0.037932064246031766,0.03801888090644425,0.03840684950648535
neovius,sheet,0.35009765625,32,111,0.19121510949029866,0.19098366512778014,0.1901797006777285
fischer_koch_s,network,0.350006103515625,32,111,0.10260428543981717,0.10262548046154078,0.1027879160218884
fischer_koch_s,sheet,0.350250244140625,32,111,0.15343241811327038,0.1534894514821145,0.15391984644002343
frd,network,0.34979248046875,32,111,0.08848413675318463,0.08848474971161746,0.08857490035469412
frd,sheet,0.35028076171875,32,111,0.19101611704080798,0.19096236682944517,0.19093608816227595
split_p,network,0.350006103515625,32,111,0.1454922522638845,0.145275327136716,0.14453144162236306
split_p,sheet,0.3499755859375,32,111,0.08394250897377745,0.08384054363931785,0.08350946122322542
